[TRACE] 2015-08-07 16:39:36,905 Thread:1 --- 330;商品是否暂停进出口;2015-08-07 16:39:36;2015-08-07 16:39:36;23;true;false
[TRACE] 2015-08-07 16:39:37,341 Thread:1 --- 333;申请表表体帐册项号重复;2015-08-07 16:39:37;2015-08-07 16:39:37;0;true;false
[TRACE] 2015-08-07 16:39:37,467 Thread:1 --- 334;申请表变更时表体帐册项号与备案帐册项号重复;2015-08-07 16:39:37;2015-08-07 16:39:37;0;false;false
[TRACE] 2015-08-07 16:39:37,841 Thread:1 --- 337;转入帐册编号不能变更;2015-08-07 16:39:37;2015-08-07 16:39:37;0;false;false
[TRACE] 2015-08-07 16:39:39,395 Thread:1 --- 338;转入企业内部编号不能变更;2015-08-07 16:39:39;2015-08-07 16:39:39;0;false;false
[TRACE] 2015-08-07 16:39:39,541 Thread:1 --- 339;转入地海关不能变更;2015-08-07 16:39:39;2015-08-07 16:39:39;0;false;false
[TRACE] 2015-08-07 16:39:39,673 Thread:1 --- 340;转入企业代码不能变更;2015-08-07 16:39:39;2015-08-07 16:39:39;0;false;false
[TRACE] 2015-08-07 16:39:39,788 Thread:1 --- 341;转入企业名称不能变更;2015-08-07 16:39:39;2015-08-07 16:39:39;0;false;false
[TRACE] 2015-08-07 16:39:39,919 Thread:1 --- 342;转入申报企业代码不能变更;2015-08-07 16:39:39;2015-08-07 16:39:39;0;false;false
[TRACE] 2015-08-07 16:39:40,135 Thread:1 --- 343;转入申报企业名称不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,264 Thread:1 --- 344;转入企业法人不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,393 Thread:1 --- 345;转入申报人不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,513 Thread:1 --- 346;转入地区代码不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,637 Thread:1 --- 347;转入地企业备注不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,779 Thread:1 --- 348;转入报关员编号不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:40,890 Thread:1 --- 349;预计运输耗时不能变更;2015-08-07 16:39:40;2015-08-07 16:39:40;0;false;false
[TRACE] 2015-08-07 16:39:41,010 Thread:1 --- 350;送货距离不能变更;2015-08-07 16:39:41;2015-08-07 16:39:41;0;false;false
[TRACE] 2015-08-07 16:39:41,128 Thread:1 --- 351;变更有效期提示;2015-08-07 16:39:41;2015-08-07 16:39:41;0;false;false
[TRACE] 2015-08-07 16:39:41,253 Thread:1 --- 352;有效期是否超出备案日期1年;2015-08-07 16:39:41;2015-08-07 16:39:41;0;false;false
[TRACE] 2015-08-07 16:39:41,640 Thread:1 --- 337;转入帐册编号不能变更;2015-08-07 16:39:41;2015-08-07 16:39:41;1;false;false
[TRACE] 2015-08-07 16:39:41,757 Thread:1 --- 338;转入企业内部编号不能变更;2015-08-07 16:39:41;2015-08-07 16:39:41;1;false;false
[TRACE] 2015-08-07 16:39:41,888 Thread:1 --- 339;转入地海关不能变更;2015-08-07 16:39:41;2015-08-07 16:39:41;0;false;false
[TRACE] 2015-08-07 16:39:42,026 Thread:1 --- 340;转入企业代码不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,142 Thread:1 --- 341;转入企业名称不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,254 Thread:1 --- 342;转入申报企业代码不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,382 Thread:1 --- 343;转入申报企业名称不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,502 Thread:1 --- 344;转入企业法人不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,628 Thread:1 --- 345;转入申报人不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,782 Thread:1 --- 346;转入地区代码不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:42,896 Thread:1 --- 347;转入地企业备注不能变更;2015-08-07 16:39:42;2015-08-07 16:39:42;0;false;false
[TRACE] 2015-08-07 16:39:43,019 Thread:1 --- 348;转入报关员编号不能变更;2015-08-07 16:39:43;2015-08-07 16:39:43;0;false;false
[TRACE] 2015-08-07 16:39:43,138 Thread:1 --- 349;预计运输耗时不能变更;2015-08-07 16:39:43;2015-08-07 16:39:43;0;false;false
[TRACE] 2015-08-07 16:39:43,258 Thread:1 --- 350;送货距离不能变更;2015-08-07 16:39:43;2015-08-07 16:39:43;1;false;false
[TRACE] 2015-08-07 16:39:43,379 Thread:1 --- 351;变更有效期提示;2015-08-07 16:39:43;2015-08-07 16:39:43;0;false;false
[TRACE] 2015-08-07 16:39:43,558 Thread:1 --- 352;有效期是否超出备案日期1年;2015-08-07 16:39:43;2015-08-07 16:39:43;0;false;false
